"BehaviorSpace results (NetLogo 6.4.0)","Spreadsheet version 2.0"
"null"
"experiment_pollutionrate10_legalstrength90"
"04/22/2025 15:21:45:600 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[all run data]","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate"
,"0","10","legal","90","5","90","10","0","10","legal","90","5","90","10","0","10","legal","90","5","90","10","0","10","legal","90","5","90","10","0","10","legal","90","5","90","10","0","10","legal","90","5","90","10","0","10","legal","90","5","90","10","0","10","legal","90","5","90","10","0","10","legal","90","5","90","10","0","10","legal","90","5","90","10"
,"1","10","legal","90","5","94.4","5.6000000000000005","1","10","legal","90","5","94.9","5.1","1","10","legal","90","5","96.2","3.8","1","10","legal","90","5","95.2","4.8","1","10","legal","90","5","95.4","4.6","1","10","legal","90","5","96.5","3.5000000000000004","1","10","legal","90","5","94.9","5.1","1","10","legal","90","5","95.3","4.7","1","10","legal","90","5","96.3","3.6999999999999997","1","10","legal","90","5","95.4","4.6"
,"2","10","legal","90","5","91.3","8.7","2","10","legal","90","5","91.8","8.200000000000001","2","10","legal","90","5","94.8","5.2","2","10","legal","90","5","92.8","7.199999999999999","2","10","legal","90","5","94.1","5.8999999999999995","2","10","legal","90","5","94.6","5.4","2","10","legal","90","5","93","7.000000000000001","2","10","legal","90","5","93.9","6.1","2","10","legal","90","5","94.3","5.7","2","10","legal","90","5","94.5","5.5"
,"3","10","legal","90","5","87.4","12.6","3","10","legal","90","5","87.3","12.7","3","10","legal","90","5","93.4","6.6000000000000005","3","10","legal","90","5","89.4","10.6","3","10","legal","90","5","91.6","8.4","3","10","legal","90","5","91.4","8.6","3","10","legal","90","5","90.9","9.1","3","10","legal","90","5","91.6","8.4","3","10","legal","90","5","90.9","9.1","3","10","legal","90","5","91.6","8.4"
,"4","10","legal","90","5","81","19","4","10","legal","90","5","81.3","18.7","4","10","legal","90","5","89.5","10.5","4","10","legal","90","5","84.3","15.7","4","10","legal","90","5","88.7","11.3","4","10","legal","90","5","87.7","12.3","4","10","legal","90","5","87.8","12.2","4","10","legal","90","5","88.3","11.700000000000001","4","10","legal","90","5","87.6","12.4","4","10","legal","90","5","86.8","13.200000000000001"
,"5","10","legal","90","5","74.5","25.5","5","10","legal","90","5","74.2","25.8","5","10","legal","90","5","85.1","14.899999999999999","5","10","legal","90","5","76.9","23.1","5","10","legal","90","5","85.3","14.7","5","10","legal","90","5","82.9","17.1","5","10","legal","90","5","83.3","16.7","5","10","legal","90","5","81.4","18.6","5","10","legal","90","5","84","16","5","10","legal","90","5","80.8","19.2"
,"6","10","legal","90","5","75.5","24.5","6","10","legal","90","5","77.7","22.3","6","10","legal","90","5","88","12","6","10","legal","90","5","77.4","22.6","6","10","legal","90","5","87.6","12.4","6","10","legal","90","5","85.2","14.799999999999999","6","10","legal","90","5","84.8","15.2","6","10","legal","90","5","82.9","17.1","6","10","legal","90","5","86.5","13.5","6","10","legal","90","5","83.4","16.6"
,"7","10","legal","90","5","68.2","31.8","7","10","legal","90","5","70.1","29.9","7","10","legal","90","5","82.5","17.5","7","10","legal","90","5","68.9","31.1","7","10","legal","90","5","81.4","18.6","7","10","legal","90","5","78.7","21.3","7","10","legal","90","5","78.6","21.4","7","10","legal","90","5","75.6","24.4","7","10","legal","90","5","80.7","19.3","7","10","legal","90","5","77.4","22.6"
,"8","10","legal","90","5","58.900000000000006","41.099999999999994","8","10","legal","90","5","61.3","38.7","8","10","legal","90","5","75","25","8","10","legal","90","5","61.7","38.3","8","10","legal","90","5","75","25","8","10","legal","90","5","71.9","28.1","8","10","legal","90","5","72.19999999999999","27.800000000000004","8","10","legal","90","5","66.4","33.6","8","10","legal","90","5","73.3","26.700000000000003","8","10","legal","90","5","68.6","31.4"
,"9","10","legal","90","5","50.4","49.6","9","10","legal","90","5","54.5","45.5","9","10","legal","90","5","67.69999999999999","32.300000000000004","9","10","legal","90","5","53.4","46.6","9","10","legal","90","5","67.9","32.1","9","10","legal","90","5","64.30000000000001","35.699999999999996","9","10","legal","90","5","64","36","9","10","legal","90","5","58.800000000000004","41.199999999999996","9","10","legal","90","5","64.80000000000001","35.199999999999996","9","10","legal","90","5","61","39"
,"10","10","legal","90","5","42.800000000000004","57.199999999999996","10","10","legal","90","5","47.5","52.5","10","10","legal","90","5","58.800000000000004","41.199999999999996","10","10","legal","90","5","45.8","54.2","10","10","legal","90","5","59.699999999999996","40.300000000000004","10","10","legal","90","5","57","43","10","10","legal","90","5","56.2","43.8","10","10","legal","90","5","50.9","49.1","10","10","legal","90","5","56.6","43.4","10","10","legal","90","5","52.900000000000006","47.099999999999994"
,"11","10","legal","90","5","45.49999999999999","54.50000000000001","11","10","legal","90","5","50.3","49.7","11","10","legal","90","5","60.199999999999996","39.800000000000004","11","10","legal","90","5","48.1","51.9","11","10","legal","90","5","60.099999999999994","39.900000000000006","11","10","legal","90","5","58.800000000000004","41.199999999999996","11","10","legal","90","5","57.4","42.6","11","10","legal","90","5","53","47","11","10","legal","90","5","57.2","42.8","11","10","legal","90","5","54.4","45.6"
,"12","10","legal","90","5","37.7","62.3","12","10","legal","90","5","42.300000000000004","57.699999999999996","12","10","legal","90","5","52","48","12","10","legal","90","5","39.7","60.3","12","10","legal","90","5","54.4","45.6","12","10","legal","90","5","50","50","12","10","legal","90","5","48.3","51.7","12","10","legal","90","5","45.4","54.6","12","10","legal","90","5","48.5","51.5","12","10","legal","90","5","48.199999999999996","51.800000000000004"
,"13","10","legal","90","5","31","69","13","10","legal","90","5","35.900000000000006","64.1","13","10","legal","90","5","42.300000000000004","57.699999999999996","13","10","legal","90","5","32.69999999999999","67.30000000000001","13","10","legal","90","5","45.699999999999996","54.300000000000004","13","10","legal","90","5","42.800000000000004","57.199999999999996","13","10","legal","90","5","41.5","58.5","13","10","legal","90","5","38.3","61.7","13","10","legal","90","5","41.1","58.9","13","10","legal","90","5","40.300000000000004","59.699999999999996"
,"14","10","legal","90","5","26.099999999999994","73.9","14","10","legal","90","5","28.5","71.5","14","10","legal","90","5","36.3","63.7","14","10","legal","90","5","26.400000000000006","73.6","14","10","legal","90","5","38.4","61.6","14","10","legal","90","5","36","64","14","10","legal","90","5","34.099999999999994","65.9","14","10","legal","90","5","31.799999999999997","68.2","14","10","legal","90","5","34.099999999999994","65.9","14","10","legal","90","5","33.2","66.8"
,"15","10","legal","90","5","22","78","15","10","legal","90","5","23.700000000000003","76.3","15","10","legal","90","5","30.30000000000001","69.69999999999999","15","10","legal","90","5","21.5","78.5","15","10","legal","90","5","32.69999999999999","67.30000000000001","15","10","legal","90","5","31.39999999999999","68.60000000000001","15","10","legal","90","5","28","72","15","10","legal","90","5","25.900000000000006","74.1","15","10","legal","90","5","28","72","15","10","legal","90","5","26.400000000000006","73.6"
,"16","10","legal","90","5","27.799999999999997","72.2","16","10","legal","90","5","28.400000000000006","71.6","16","10","legal","90","5","33.599999999999994","66.4","16","10","legal","90","5","26.099999999999994","73.9","16","10","legal","90","5","34.39999999999999","65.60000000000001","16","10","legal","90","5","35.8","64.2","16","10","legal","90","5","31.89999999999999","68.10000000000001","16","10","legal","90","5","30.5","69.5","16","10","legal","90","5","33.099999999999994","66.9","16","10","legal","90","5","31","69"
,"17","10","legal","90","5","22.39999999999999","77.60000000000001","17","10","legal","90","5","23.200000000000003","76.8","17","10","legal","90","5","27.5","72.5","17","10","legal","90","5","21.200000000000003","78.8","17","10","legal","90","5","27.799999999999997","72.2","17","10","legal","90","5","28.700000000000003","71.3","17","10","legal","90","5","26.400000000000006","73.6","17","10","legal","90","5","25","75","17","10","legal","90","5","26.700000000000003","73.3","17","10","legal","90","5","26","74"
,"18","10","legal","90","5","17.60000000000001","82.39999999999999","18","10","legal","90","5","18.700000000000003","81.3","18","10","legal","90","5","22.299999999999997","77.7","18","10","legal","90","5","16.400000000000006","83.6","18","10","legal","90","5","22.799999999999997","77.2","18","10","legal","90","5","23.5","76.5","18","10","legal","90","5","21","79","18","10","legal","90","5","19.799999999999997","80.2","18","10","legal","90","5","21.799999999999997","78.2","18","10","legal","90","5","20.89999999999999","79.10000000000001"
,"19","10","legal","90","5","14.700000000000003","85.3","19","10","legal","90","5","16","84","19","10","legal","90","5","18.799999999999997","81.2","19","10","legal","90","5","13.099999999999994","86.9","19","10","legal","90","5","18.89999999999999","81.10000000000001","19","10","legal","90","5","19.5","80.5","19","10","legal","90","5","17.400000000000006","82.6","19","10","legal","90","5","15.900000000000006","84.1","19","10","legal","90","5","18.30000000000001","81.69999999999999","19","10","legal","90","5","18","82"
,"20","10","legal","90","5","11.400000000000006","88.6","20","10","legal","90","5","13.299999999999997","86.7","20","10","legal","90","5","15.5","84.5","20","10","legal","90","5","10","90","20","10","legal","90","5","15.200000000000003","84.8","20","10","legal","90","5","15.900000000000006","84.1","20","10","legal","90","5","13.700000000000003","86.3","20","10","legal","90","5","14","86","20","10","legal","90","5","14.600000000000009","85.39999999999999","20","10","legal","90","5","13.900000000000006","86.1"
,"21","10","legal","90","5","17.60000000000001","82.39999999999999","21","10","legal","90","5","19.69999999999999","80.30000000000001","21","10","legal","90","5","21.799999999999997","78.2","21","10","legal","90","5","17.10000000000001","82.89999999999999","21","10","legal","90","5","21.39999999999999","78.60000000000001","21","10","legal","90","5","22.39999999999999","77.60000000000001","21","10","legal","90","5","20.099999999999994","79.9","21","10","legal","90","5","21.5","78.5","21","10","legal","90","5","20","80","21","10","legal","90","5","20.5","79.5"
,"22","10","legal","90","5","14.099999999999994","85.9","22","10","legal","90","5","15.400000000000006","84.6","22","10","legal","90","5","16.799999999999997","83.2","22","10","legal","90","5","13.700000000000003","86.3","22","10","legal","90","5","16.900000000000006","83.1","22","10","legal","90","5","17.400000000000006","82.6","22","10","legal","90","5","15.600000000000009","84.39999999999999","22","10","legal","90","5","16.799999999999997","83.2","22","10","legal","90","5","16.700000000000003","83.3","22","10","legal","90","5","15.299999999999997","84.7"
,"23","10","legal","90","5","11","89","23","10","legal","90","5","12.099999999999994","87.9","23","10","legal","90","5","13","87","23","10","legal","90","5","11.700000000000003","88.3","23","10","legal","90","5","13.299999999999997","86.7","23","10","legal","90","5","13","87","23","10","legal","90","5","12.299999999999997","87.7","23","10","legal","90","5","12.700000000000003","87.3","23","10","legal","90","5","12.099999999999994","87.9","23","10","legal","90","5","11.900000000000006","88.1"
,"24","10","legal","90","5","8.5","91.5","24","10","legal","90","5","8.5","91.5","24","10","legal","90","5","10","90","24","10","legal","90","5","9.200000000000003","90.8","24","10","legal","90","5","10.099999999999994","89.9","24","10","legal","90","5","10.900000000000006","89.1","24","10","legal","90","5","9.700000000000003","90.3","24","10","legal","90","5","10","90","24","10","legal","90","5","8.899999999999991","91.10000000000001","24","10","legal","90","5","9.5","90.5"
,"25","10","legal","90","5","6.699999999999989","93.30000000000001","25","10","legal","90","5","6.3999999999999915","93.60000000000001","25","10","legal","90","5","7.699999999999989","92.30000000000001","25","10","legal","90","5","6.5","93.5","25","10","legal","90","5","8.599999999999994","91.4","25","10","legal","90","5","8.399999999999991","91.60000000000001","25","10","legal","90","5","7.8999999999999915","92.10000000000001","25","10","legal","90","5","7.3999999999999915","92.60000000000001","25","10","legal","90","5","7.699999999999989","92.30000000000001","25","10","legal","90","5","7.5","92.5"
,"26","10","legal","90","5","14.400000000000006","85.6","26","10","legal","90","5","14.099999999999994","85.9","26","10","legal","90","5","14.099999999999994","85.9","26","10","legal","90","5","13.799999999999997","86.2","26","10","legal","90","5","16.200000000000003","83.8","26","10","legal","90","5","15.799999999999997","84.2","26","10","legal","90","5","15.200000000000003","84.8","26","10","legal","90","5","15.200000000000003","84.8","26","10","legal","90","5","14.900000000000006","85.1","26","10","legal","90","5","15.100000000000009","84.89999999999999"
,"27","10","legal","90","5","10.5","89.5","27","10","legal","90","5","11.5","88.5","27","10","legal","90","5","10.5","89.5","27","10","legal","90","5","10.099999999999994","89.9","27","10","legal","90","5","12.799999999999997","87.2","27","10","legal","90","5","10.700000000000003","89.3","27","10","legal","90","5","12","88","27","10","legal","90","5","10.799999999999997","89.2","27","10","legal","90","5","11.099999999999994","88.9","27","10","legal","90","5","11","89"
