"BehaviorSpace results (NetLogo 6.4.0)","Spreadsheet version 2.0"
"null"
"experiment_treatment_none"
"04/22/2025 15:30:50:199 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
,"1","30","none","30","5","62.6","37.4","1","30","none","30","5","61.6","38.4","1","30","none","30","5","63.3","36.7","1","30","none","30","5","61.8","38.2","1","30","none","30","5","62","38","1","30","none","30","5","62.7","37.3","1","30","none","30","5","62.3","37.7","1","30","none","30","5","61.8","38.2","1","30","none","30","5","64.2","35.8","1","30","none","30","5","61.199999999999996","38.800000000000004"
,"2","30","none","30","5","53.8","46.2","2","30","none","30","5","52.800000000000004","47.199999999999996","2","30","none","30","5","56.6","43.4","2","30","none","30","5","52.2","47.8","2","30","none","30","5","53.9","46.1","2","30","none","30","5","55.3","44.7","2","30","none","30","5","53.9","46.1","2","30","none","30","5","53","47","2","30","none","30","5","55.8","44.2","2","30","none","30","5","52.7","47.3"
,"3","30","none","30","5","46.699999999999996","53.300000000000004","3","30","none","30","5","43.7","56.3","3","30","none","30","5","48.8","51.2","3","30","none","30","5","45.599999999999994","54.400000000000006","3","30","none","30","5","45.199999999999996","54.800000000000004","3","30","none","30","5","47.199999999999996","52.800000000000004","3","30","none","30","5","44.8","55.2","3","30","none","30","5","44.599999999999994","55.400000000000006","3","30","none","30","5","46.5","53.5","3","30","none","30","5","44.3","55.7"
,"4","30","none","30","5","37.9","62.1","4","30","none","30","5","36.9","63.1","4","30","none","30","5","41","59","4","30","none","30","5","37.7","62.3","4","30","none","30","5","37.6","62.4","4","30","none","30","5","39.900000000000006","60.099999999999994","4","30","none","30","5","37.4","62.6","4","30","none","30","5","37.3","62.7","4","30","none","30","5","39.7","60.3","4","30","none","30","5","37","63"
,"5","30","none","30","5","31.299999999999997","68.7","5","30","none","30","5","29.700000000000003","70.3","5","30","none","30","5","33.5","66.5","5","30","none","30","5","31.39999999999999","68.60000000000001","5","30","none","30","5","30.5","69.5","5","30","none","30","5","32.8","67.2","5","30","none","30","5","30.900000000000006","69.1","5","30","none","30","5","31.39999999999999","68.60000000000001","5","30","none","30","5","32.099999999999994","67.9","5","30","none","30","5","30.900000000000006","69.1"
,"6","30","none","30","5","26","74","6","30","none","30","5","24.200000000000003","75.8","6","30","none","30","5","25.799999999999997","74.2","6","30","none","30","5","25.5","74.5","6","30","none","30","5","24.799999999999997","75.2","6","30","none","30","5","27.299999999999997","72.7","6","30","none","30","5","25.5","74.5","6","30","none","30","5","25.400000000000006","74.6","6","30","none","30","5","26.599999999999994","73.4","6","30","none","30","5","24.900000000000006","75.1"
,"7","30","none","30","5","20.89999999999999","79.10000000000001","7","30","none","30","5","19.89999999999999","80.10000000000001","7","30","none","30","5","21.700000000000003","78.3","7","30","none","30","5","20.599999999999994","79.4","7","30","none","30","5","21.200000000000003","78.8","7","30","none","30","5","21.599999999999994","78.4","7","30","none","30","5","20.299999999999997","79.7","7","30","none","30","5","19.89999999999999","80.10000000000001","7","30","none","30","5","21","79","7","30","none","30","5","20.700000000000003","79.3"
,"8","30","none","30","5","18","82","8","30","none","30","5","16.700000000000003","83.3","8","30","none","30","5","17.900000000000006","82.1","8","30","none","30","5","16.900000000000006","83.1","8","30","none","30","5","18.10000000000001","81.89999999999999","8","30","none","30","5","16.900000000000006","83.1","8","30","none","30","5","16.900000000000006","83.1","8","30","none","30","5","16.5","83.5","8","30","none","30","5","17","83","8","30","none","30","5","17.10000000000001","82.89999999999999"
,"9","30","none","30","5","14.400000000000006","85.6","9","30","none","30","5","13.400000000000006","86.6","9","30","none","30","5","14.700000000000003","85.3","9","30","none","30","5","13.700000000000003","86.3","9","30","none","30","5","13.599999999999994","86.4","9","30","none","30","5","13.700000000000003","86.3","9","30","none","30","5","13.5","86.5","9","30","none","30","5","13","87","9","30","none","30","5","13.900000000000006","86.1","9","30","none","30","5","13.5","86.5"
,"10","30","none","30","5","11.599999999999994","88.4","10","30","none","30","5","11","89","10","30","none","30","5","11.200000000000003","88.8","10","30","none","30","5","11.5","88.5","10","30","none","30","5","11.099999999999994","88.9","10","30","none","30","5","10.200000000000003","89.8","10","30","none","30","5","11.099999999999994","88.9","10","30","none","30","5","10.099999999999994","89.9","10","30","none","30","5","11.200000000000003","88.8","10","30","none","30","5","11","89"
