"BehaviorSpace results (NetLogo 6.4.0)","Spreadsheet version 2.0"
"null"
"experiment_pollutionrate10_platformaccuracy70_speed75"
"04/22/2025 16:23:50:480 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[all run data]","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate"
,"0","10","platform","70","75","90","10","0","10","platform","70","75","90","10","0","10","platform","70","75","90","10","0","10","platform","70","75","90","10","0","10","platform","70","75","90","10","0","10","platform","70","75","90","10","0","10","platform","70","75","90","10","0","10","platform","70","75","90","10","0","10","platform","70","75","90","10","0","10","platform","70","75","90","10"
,"1","10","platform","70","75","87.8","12.2","1","10","platform","70","75","86.9","13.100000000000001","1","10","platform","70","75","87.4","12.6","1","10","platform","70","75","87.6","12.4","1","10","platform","70","75","86.7","13.3","1","10","platform","70","75","87.1","12.9","1","10","platform","70","75","87.2","12.8","1","10","platform","70","75","87.5","12.5","1","10","platform","70","75","86.3","13.700000000000001","1","10","platform","70","75","87.6","12.4"
,"2","10","platform","70","75","84.5","15.5","2","10","platform","70","75","81.8","18.2","2","10","platform","70","75","83.7","16.3","2","10","platform","70","75","84.2","15.8","2","10","platform","70","75","82.8","17.2","2","10","platform","70","75","82.3","17.7","2","10","platform","70","75","82.6","17.4","2","10","platform","70","75","84.4","15.6","2","10","platform","70","75","83.4","16.6","2","10","platform","70","75","83.8","16.2"
,"3","10","platform","70","75","78.9","21.099999999999998","3","10","platform","70","75","76.6","23.400000000000002","3","10","platform","70","75","79.2","20.8","3","10","platform","70","75","79.4","20.599999999999998","3","10","platform","70","75","78.4","21.6","3","10","platform","70","75","76.4","23.599999999999998","3","10","platform","70","75","77.7","22.3","3","10","platform","70","75","80.3","19.7","3","10","platform","70","75","77.2","22.8","3","10","platform","70","75","80","20"
,"4","10","platform","70","75","74.1","25.900000000000002","4","10","platform","70","75","72","28.000000000000004","4","10","platform","70","75","74.4","25.6","4","10","platform","70","75","74.6","25.4","4","10","platform","70","75","72.1","27.900000000000002","4","10","platform","70","75","70.5","29.5","4","10","platform","70","75","70.7","29.299999999999997","4","10","platform","70","75","74.3","25.7","4","10","platform","70","75","72.3","27.700000000000003","4","10","platform","70","75","74.7","25.3"
,"5","10","platform","70","75","68.6","31.4","5","10","platform","70","75","65.5","34.5","5","10","platform","70","75","69.6","30.4","5","10","platform","70","75","67.8","32.2","5","10","platform","70","75","66.1","33.900000000000006","5","10","platform","70","75","63.7","36.3","5","10","platform","70","75","64.30000000000001","35.699999999999996","5","10","platform","70","75","69.5","30.5","5","10","platform","70","75","66.1","33.900000000000006","5","10","platform","70","75","69.2","30.8"
,"6","10","platform","70","75","64.4","35.6","6","10","platform","70","75","60","40","6","10","platform","70","75","64","36","6","10","platform","70","75","61.3","38.7","6","10","platform","70","75","60.3","39.7","6","10","platform","70","75","57.1","42.9","6","10","platform","70","75","57.1","42.9","6","10","platform","70","75","61.8","38.2","6","10","platform","70","75","59.599999999999994","40.400000000000006","6","10","platform","70","75","63.5","36.5"
,"7","10","platform","70","75","57","43","7","10","platform","70","75","54.199999999999996","45.800000000000004","7","10","platform","70","75","57.5","42.5","7","10","platform","70","75","56.4","43.6","7","10","platform","70","75","55.199999999999996","44.800000000000004","7","10","platform","70","75","51.300000000000004","48.699999999999996","7","10","platform","70","75","51.9","48.1","7","10","platform","70","75","55.6","44.4","7","10","platform","70","75","52.6","47.4","7","10","platform","70","75","57.6","42.4"
,"8","10","platform","70","75","52.7","47.3","8","10","platform","70","75","48.6","51.4","8","10","platform","70","75","52.1","47.9","8","10","platform","70","75","51.5","48.5","8","10","platform","70","75","50.5","49.5","8","10","platform","70","75","46.5","53.5","8","10","platform","70","75","46.8","53.2","8","10","platform","70","75","51.1","48.9","8","10","platform","70","75","47.9","52.1","8","10","platform","70","75","52.1","47.9"
