"BehaviorSpace results (NetLogo 6.4.0)","Spreadsheet version 2.0"
"null"
"experiment_pollutionrate30_platformaccuracy80_speed50"
"04/22/2025 17:11:11:532 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[all run data]","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","platform-accuracy","platform-speed","effectiveness","current-pollution-rate"
,"0","30","platform","80","50","70","30","0","30","platform","80","50","70","30","0","30","platform","80","50","70","30","0","30","platform","80","50","70","30","0","30","platform","80","50","70","30","0","30","platform","80","50","70","30","0","30","platform","80","50","70","30","0","30","platform","80","50","70","30","0","30","platform","80","50","70","30","0","30","platform","80","50","70","30"
,"1","30","platform","80","50","63.3","36.7","1","30","platform","80","50","64.9","35.099999999999994","1","30","platform","80","50","65","35","1","30","platform","80","50","64.2","35.8","1","30","platform","80","50","64.1","35.9","1","30","platform","80","50","64.6","35.4","1","30","platform","80","50","65.1","34.9","1","30","platform","80","50","64.9","35.099999999999994","1","30","platform","80","50","65.4","34.599999999999994","1","30","platform","80","50","64","36"
,"2","30","platform","80","50","54.8","45.2","2","30","platform","80","50","59.1","40.9","2","30","platform","80","50","57.7","42.3","2","30","platform","80","50","55.4","44.6","2","30","platform","80","50","57.7","42.3","2","30","platform","80","50","58.1","41.9","2","30","platform","80","50","58.7","41.3","2","30","platform","80","50","57.4","42.6","2","30","platform","80","50","58.7","41.3","2","30","platform","80","50","56.3","43.7"
,"3","30","platform","80","50","47.199999999999996","52.800000000000004","3","30","platform","80","50","53.3","46.7","3","30","platform","80","50","51.2","48.8","3","30","platform","80","50","48.1","51.9","3","30","platform","80","50","50.1","49.9","3","30","platform","80","50","51.1","48.9","3","30","platform","80","50","50","50","3","30","platform","80","50","51.6","48.4","3","30","platform","80","50","51.9","48.1","3","30","platform","80","50","49.7","50.3"
,"4","30","platform","80","50","42.2","57.8","4","30","platform","80","50","47.8","52.2","4","30","platform","80","50","45.8","54.2","4","30","platform","80","50","42.300000000000004","57.699999999999996","4","30","platform","80","50","45.099999999999994","54.900000000000006","4","30","platform","80","50","45.4","54.6","4","30","platform","80","50","43.99999999999999","56.00000000000001","4","30","platform","80","50","46.099999999999994","53.900000000000006","4","30","platform","80","50","46.9","53.1","4","30","platform","80","50","44.49999999999999","55.50000000000001"
,"5","30","platform","80","50","38.3","61.7","5","30","platform","80","50","42.300000000000004","57.699999999999996","5","30","platform","80","50","42.50000000000001","57.49999999999999","5","30","platform","80","50","36.3","63.7","5","30","platform","80","50","39.2","60.8","5","30","platform","80","50","40.300000000000004","59.699999999999996","5","30","platform","80","50","40.1","59.9","5","30","platform","80","50","41.2","58.8","5","30","platform","80","50","40.7","59.3","5","30","platform","80","50","40.1","59.9"
,"6","30","platform","80","50","33.39999999999999","66.60000000000001","6","30","platform","80","50","38.3","61.7","6","30","platform","80","50","39","61","6","30","platform","80","50","32.39999999999999","67.60000000000001","6","30","platform","80","50","34.3","65.7","6","30","platform","80","50","35.8","64.2","6","30","platform","80","50","35.2","64.8","6","30","platform","80","50","36","64","6","30","platform","80","50","36.9","63.1","6","30","platform","80","50","34","66"
,"7","30","platform","80","50","31","69","7","30","platform","80","50","34.8","65.2","7","30","platform","80","50","35.2","64.8","7","30","platform","80","50","29","71","7","30","platform","80","50","30.400000000000006","69.6","7","30","platform","80","50","32.3","67.7","7","30","platform","80","50","32.5","67.5","7","30","platform","80","50","32.5","67.5","7","30","platform","80","50","33.2","66.8","7","30","platform","80","50","31.69999999999999","68.30000000000001"
,"8","30","platform","80","50","27.299999999999997","72.7","8","30","platform","80","50","31.799999999999997","68.2","8","30","platform","80","50","32.099999999999994","67.9","8","30","platform","80","50","27.700000000000003","72.3","8","30","platform","80","50","27.400000000000006","72.6","8","30","platform","80","50","29.700000000000003","70.3","8","30","platform","80","50","30.30000000000001","69.69999999999999","8","30","platform","80","50","29.200000000000003","70.8","8","30","platform","80","50","29.299999999999997","70.7","8","30","platform","80","50","29","71"
