"BehaviorSpace results (NetLogo 6.4.0)","Spreadsheet version 2.0"
"null"
"experiment_pollutionrate30_legalstrength60_time1"
"04/22/2025 16:07:48:569 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[all run data]","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate","[step]","pollution-level","treatment","legal-strength","legal-response-time","effectiveness","current-pollution-rate"
,"0","30","legal","60","1","70","30","0","30","legal","60","1","70","30","0","30","legal","60","1","70","30","0","30","legal","60","1","70","30","0","30","legal","60","1","70","30","0","30","legal","60","1","70","30","0","30","legal","60","1","70","30","0","30","legal","60","1","70","30","0","30","legal","60","1","70","30","0","30","legal","60","1","70","30"
,"1","30","legal","60","1","69.1","30.9","1","30","legal","60","1","67.9","32.1","1","30","legal","60","1","70.3","29.7","1","30","legal","60","1","67.69999999999999","32.300000000000004","1","30","legal","60","1","68.8","31.2","1","30","legal","60","1","68.3","31.7","1","30","legal","60","1","69","31","1","30","legal","60","1","68.1","31.900000000000002","1","30","legal","60","1","67.5","32.5","1","30","legal","60","1","68.9","31.1"
,"2","30","legal","60","1","65.5","34.5","2","30","legal","60","1","65.69999999999999","34.300000000000004","2","30","legal","60","1","68.2","31.8","2","30","legal","60","1","65.4","34.599999999999994","2","30","legal","60","1","66.69999999999999","33.300000000000004","2","30","legal","60","1","66","34","2","30","legal","60","1","65.6","34.4","2","30","legal","60","1","65.8","34.2","2","30","legal","60","1","65.1","34.9","2","30","legal","60","1","66.1","33.900000000000006"
,"3","30","legal","60","1","64.2","35.8","3","30","legal","60","1","64","36","3","30","legal","60","1","65.30000000000001","34.699999999999996","3","30","legal","60","1","62.8","37.2","3","30","legal","60","1","64.2","35.8","3","30","legal","60","1","63.5","36.5","3","30","legal","60","1","62.6","37.4","3","30","legal","60","1","63.4","36.6","3","30","legal","60","1","63.4","36.6","3","30","legal","60","1","64.7","35.3"
,"4","30","legal","60","1","62.5","37.5","4","30","legal","60","1","61","39","4","30","legal","60","1","64.6","35.4","4","30","legal","60","1","60","40","4","30","legal","60","1","62.3","37.7","4","30","legal","60","1","60.6","39.4","4","30","legal","60","1","60.4","39.6","4","30","legal","60","1","61.3","38.7","4","30","legal","60","1","60.6","39.4","4","30","legal","60","1","63.800000000000004","36.199999999999996"
,"5","30","legal","60","1","60.8","39.2","5","30","legal","60","1","58.300000000000004","41.699999999999996","5","30","legal","60","1","62.3","37.7","5","30","legal","60","1","58.300000000000004","41.699999999999996","5","30","legal","60","1","60.9","39.1","5","30","legal","60","1","58.300000000000004","41.699999999999996","5","30","legal","60","1","56.5","43.5","5","30","legal","60","1","59.300000000000004","40.699999999999996","5","30","legal","60","1","58.4","41.6","5","30","legal","60","1","61.7","38.3"
,"6","30","legal","60","1","58.900000000000006","41.099999999999994","6","30","legal","60","1","56.5","43.5","6","30","legal","60","1","59.599999999999994","40.400000000000006","6","30","legal","60","1","56.7","43.3","6","30","legal","60","1","59.4","40.6","6","30","legal","60","1","55.8","44.2","6","30","legal","60","1","54.3","45.7","6","30","legal","60","1","57.9","42.1","6","30","legal","60","1","54.4","45.6","6","30","legal","60","1","59.2","40.8"
,"7","30","legal","60","1","57","43","7","30","legal","60","1","55.3","44.7","7","30","legal","60","1","56.9","43.1","7","30","legal","60","1","54.9","45.1","7","30","legal","60","1","57.7","42.3","7","30","legal","60","1","53.4","46.6","7","30","legal","60","1","51.800000000000004","48.199999999999996","7","30","legal","60","1","54.5","45.5","7","30","legal","60","1","53.9","46.1","7","30","legal","60","1","57.2","42.8"
,"8","30","legal","60","1","54.9","45.1","8","30","legal","60","1","52.1","47.9","8","30","legal","60","1","54.199999999999996","45.800000000000004","8","30","legal","60","1","53.8","46.2","8","30","legal","60","1","55.4","44.6","8","30","legal","60","1","50","50","8","30","legal","60","1","50","50","8","30","legal","60","1","51.7","48.3","8","30","legal","60","1","51","49","8","30","legal","60","1","55.3","44.7"
,"9","30","legal","60","1","52.7","47.3","9","30","legal","60","1","48.6","51.4","9","30","legal","60","1","51.300000000000004","48.699999999999996","9","30","legal","60","1","51.5","48.5","9","30","legal","60","1","54.1","45.9","9","30","legal","60","1","46.8","53.2","9","30","legal","60","1","47.5","52.5","9","30","legal","60","1","49.4","50.6","9","30","legal","60","1","48.199999999999996","51.800000000000004","9","30","legal","60","1","53.8","46.2"
,"10","30","legal","60","1","50.8","49.2","10","30","legal","60","1","45.9","54.1","10","30","legal","60","1","49.6","50.4","10","30","legal","60","1","49.1","50.9","10","30","legal","60","1","52","48","10","30","legal","60","1","45.4","54.6","10","30","legal","60","1","44.599999999999994","55.400000000000006","10","30","legal","60","1","46.9","53.1","10","30","legal","60","1","45.9","54.1","10","30","legal","60","1","51.2","48.8"
,"11","30","legal","60","1","49","51","11","30","legal","60","1","44.599999999999994","55.400000000000006","11","30","legal","60","1","47.5","52.5","11","30","legal","60","1","47.3","52.7","11","30","legal","60","1","50.9","49.1","11","30","legal","60","1","44.49999999999999","55.50000000000001","11","30","legal","60","1","43.10000000000001","56.89999999999999","11","30","legal","60","1","46.099999999999994","53.900000000000006","11","30","legal","60","1","44.099999999999994","55.900000000000006","11","30","legal","60","1","50.3","49.7"
,"12","30","legal","60","1","48.5","51.5","12","30","legal","60","1","42.7","57.3","12","30","legal","60","1","47.5","52.5","12","30","legal","60","1","46.3","53.7","12","30","legal","60","1","49.1","50.9","12","30","legal","60","1","41.6","58.4","12","30","legal","60","1","40.900000000000006","59.099999999999994","12","30","legal","60","1","44.699999999999996","55.300000000000004","12","30","legal","60","1","42.1","57.9","12","30","legal","60","1","47.199999999999996","52.800000000000004"
,"13","30","legal","60","1","47.4","52.6","13","30","legal","60","1","41.7","58.3","13","30","legal","60","1","47.099999999999994","52.900000000000006","13","30","legal","60","1","45.3","54.7","13","30","legal","60","1","47","53","13","30","legal","60","1","38.9","61.1","13","30","legal","60","1","40","60","13","30","legal","60","1","44.099999999999994","55.900000000000006","13","30","legal","60","1","41.2","58.8","13","30","legal","60","1","45.4","54.6"
,"14","30","legal","60","1","45.49999999999999","54.50000000000001","14","30","legal","60","1","39.6","60.4","14","30","legal","60","1","45.9","54.1","14","30","legal","60","1","44.599999999999994","55.400000000000006","14","30","legal","60","1","45.699999999999996","54.300000000000004","14","30","legal","60","1","37.6","62.4","14","30","legal","60","1","39.2","60.8","14","30","legal","60","1","41.300000000000004","58.699999999999996","14","30","legal","60","1","41","59","14","30","legal","60","1","43.60000000000001","56.39999999999999"
,"15","30","legal","60","1","43.7","56.3","15","30","legal","60","1","39.7","60.3","15","30","legal","60","1","44.49999999999999","55.50000000000001","15","30","legal","60","1","44.49999999999999","55.50000000000001","15","30","legal","60","1","41.6","58.4","15","30","legal","60","1","37","63","15","30","legal","60","1","39","61","15","30","legal","60","1","38.9","61.1","15","30","legal","60","1","40.6","59.4","15","30","legal","60","1","42.6","57.4"
,"16","30","legal","60","1","41.300000000000004","58.699999999999996","16","30","legal","60","1","38.4","61.6","16","30","legal","60","1","42.00000000000001","57.99999999999999","16","30","legal","60","1","43.89999999999999","56.10000000000001","16","30","legal","60","1","39.300000000000004","60.699999999999996","16","30","legal","60","1","36.6","63.4","16","30","legal","60","1","38.6","61.4","16","30","legal","60","1","39.300000000000004","60.699999999999996","16","30","legal","60","1","38.6","61.4","16","30","legal","60","1","42.6","57.4"
,"17","30","legal","60","1","39.900000000000006","60.099999999999994","17","30","legal","60","1","38","62","17","30","legal","60","1","40.300000000000004","59.699999999999996","17","30","legal","60","1","42.50000000000001","57.49999999999999","17","30","legal","60","1","38.9","61.1","17","30","legal","60","1","36.7","63.3","17","30","legal","60","1","38.800000000000004","61.199999999999996","17","30","legal","60","1","37.8","62.2","17","30","legal","60","1","37.8","62.2","17","30","legal","60","1","42.900000000000006","57.099999999999994"
,"18","30","legal","60","1","38.6","61.4","18","30","legal","60","1","36.8","63.2","18","30","legal","60","1","38.800000000000004","61.199999999999996","18","30","legal","60","1","40.400000000000006","59.599999999999994","18","30","legal","60","1","38.7","61.3","18","30","legal","60","1","37.1","62.9","18","30","legal","60","1","37.7","62.3","18","30","legal","60","1","37.7","62.3","18","30","legal","60","1","35.599999999999994","64.4","18","30","legal","60","1","42.00000000000001","57.99999999999999"
,"19","30","legal","60","1","36.199999999999996","63.800000000000004","19","30","legal","60","1","36","64","19","30","legal","60","1","36.7","63.3","19","30","legal","60","1","37.9","62.1","19","30","legal","60","1","37.9","62.1","19","30","legal","60","1","37.7","62.3","19","30","legal","60","1","37.4","62.6","19","30","legal","60","1","37.6","62.4","19","30","legal","60","1","35","65","19","30","legal","60","1","40.800000000000004","59.199999999999996"
,"20","30","legal","60","1","36","64","20","30","legal","60","1","35.8","64.2","20","30","legal","60","1","35","65","20","30","legal","60","1","36.9","63.1","20","30","legal","60","1","35.5","64.5","20","30","legal","60","1","36.6","63.4","20","30","legal","60","1","35.5","64.5","20","30","legal","60","1","37.7","62.3","20","30","legal","60","1","34.89999999999999","65.10000000000001","20","30","legal","60","1","40.5","59.5"
