tick,none10_mean,none10_lo,none10_hi,legal10_mean,legal10_lo,legal10_hi,platform10_mean,platform10_lo,platform10_hi,none30_mean,none30_lo,none30_hi,legal30_mean,legal30_lo,legal30_hi,platform30_mean,platform30_lo,platform30_hi,none50_mean,none50_lo,none50_hi,legal50_mean,legal50_lo,legal50_hi,platform50_mean,platform50_lo,platform50_hi
27,0.450000,0.283937,0.616063,82.490000,81.335315,83.644685,100.000000,100.000000,100.000000,0.320000,0.185957,0.454043,80.170000,78.403183,81.936817,100.000000,100.000000,100.000000,0.130000,0.023095,0.236905,79.890000,78.961903,80.818097,100.000000,100.000000,100.000000
28,0.380000,0.222549,0.537451,75.810000,74.032786,77.587214,100.000000,100.000000,100.000000,0.240000,0.137715,0.342285,73.830000,71.690284,75.969716,100.000000,100.000000,100.000000,0.120000,0.009177,0.230823,73.160000,71.810183,74.509817,100.000000,100.000000,100.000000
29,0.320000,0.162549,0.477451,67.970000,65.891481,70.048519,100.000000,100.000000,100.000000,0.210000,0.124356,0.295644,65.660000,63.350531,67.969469,100.000000,100.000000,100.000000,0.080000,0.000000,0.167937,64.930000,63.766192,66.093808,100.000000,100.000000,100.000000
30,0.300000,0.149190,0.450810,59.860000,57.626121,62.093879,100.000000,100.000000,100.000000,0.150000,0.080480,0.219520,57.410000,54.926098,59.893902,100.000000,100.000000,100.000000,0.050000,0.000000,0.110794,56.660000,55.034951,58.285049,100.000000,100.000000,100.000000
31,0.250000,0.090932,0.409068,84.680000,83.667883,85.692117,100.000000,100.000000,100.000000,0.100000,0.041591,0.158409,83.500000,82.602709,84.397291,100.000000,100.000000,100.000000,0.040000,0.000000,0.090018,83.620000,82.657999,84.582001,100.000000,100.000000,100.000000
32,0.190000,0.066326,0.313674,81.530000,80.151073,82.908927,100.000000,100.000000,100.000000,0.070000,0.021717,0.118283,80.130000,79.408273,80.851727,100.000000,100.000000,100.000000,0.030000,0.000000,0.078283,80.460000,79.414502,81.505498,100.000000,100.000000,100.000000
33,0.140000,0.049514,0.230486,75.510000,74.034502,76.985498,100.000000,100.000000,100.000000,0.060000,0.023059,0.096941,73.740000,72.351970,75.128030,100.000000,100.000000,100.000000,0.020000,0.000000,0.065243,74.160000,72.602120,75.717880,100.000000,100.000000,100.000000
34,0.100000,0.032556,0.167444,67.510000,65.800628,69.219372,100.000000,100.000000,100.000000,0.060000,0.023059,0.096941,66.110000,64.384406,67.835594,100.000000,100.000000,100.000000,0.020000,0.000000,0.065243,66.360000,64.536440,68.183560,100.000000,100.000000,100.000000
35,0.090000,0.018863,0.161137,59.030000,57.250676,60.809324,100.000000,100.000000,100.000000,0.060000,0.023059,0.096941,57.800000,55.599769,60.000231,100.000000,100.000000,100.000000,0.020000,0.000000,0.065243,57.670000,55.750185,59.589815,100.000000,100.000000,100.000000
36,0.070000,0.002135,0.137865,83.910000,83.463323,84.356677,100.000000,100.000000,100.000000,0.060000,0.023059,0.096941,83.800000,82.813372,84.786628,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,83.330000,82.510855,84.149145,100.000000,100.000000,100.000000
