"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"null"
"exp2_legal_main"
"08/07/2026 20:14:36:700 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","treatment","targeting-mode","network-type","p0","legal-strength","legal-response-time","legal-accuracy","platform-accuracy","platform-speed","num-nodes","ba-m","ws-rewire-prob","beta0","amplification","super-ratio","lambda-weight","max-ticks","[step]","effectiveness","over-removal-rate","net-effectiveness","removal-precision","error-rate","current-pollution-rate","count-wrongly-removed","deleted-count","false-deleted"
"5","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","5","93.6","9.700000000000001","83.89999999999999","57.3170731707317","42.68292682926829","6.4","97","141","105"
"6","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","4","94.4","8.6","85.80000000000001","52.307692307692314","47.69230769230769","5.6000000000000005","86","102","93"
"3","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","5","94.1","8","86.1","58.536585365853654","41.46341463414634","5.8999999999999995","80","120","85"
"4","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","3","93.6","6.800000000000001","86.8","59.06432748538012","40.93567251461988","6.4","68","101","70"
"1","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","10","95.1","20.3","74.8","40.46511627906977","59.53488372093023","4.9","203","174","256"
"6","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","5","94.5","10.299999999999999","84.2","49.56521739130435","50.43478260869565","5.5","103","114","116"
"3","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","6","93.6","10.100000000000001","83.5","54.356846473029044","45.643153526970956","6.4","101","131","110"
"2","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","6","94.8","13.5","81.3","48.4641638225256","51.5358361774744","5.2","135","142","151"
"5","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","6","93.6","12.5","81.1","52.218430034129696","47.781569965870304","6.4","125","153","140"
"4","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","4","93.6","8.7","84.89999999999999","54.929577464788736","45.07042253521127","6.4","87","117","96"
"6","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","6","94.5","12.7","81.8","45.588235294117645","54.41176470588235","5.5","127","124","148"
"1","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","11","95.2","21.8","73.4","39.400428265524624","60.599571734475376","4.8","218","184","283"
"4","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","5","93.7","10.7","83","51.229508196721305","48.77049180327869","6.3","107","125","119"
"6","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","7","94.7","14.499999999999998","80.2","43.84858044164038","56.15141955835961","5.3","145","139","178"
"1","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","12","95.4","22.7","72.7","39.726027397260275","60.273972602739725","4.6","227","203","308"
"4","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","6","93.5","12.7","80.8","47.65342960288809","52.34657039711191","6.5","127","132","145"
