"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"null"
"exp7b_scale-check(b)"
"08/07/2026 20:17:48:684 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","treatment","targeting-mode","network-type","p0","num-nodes","legal-strength","legal-response-time","legal-accuracy","platform-accuracy","platform-speed","ba-m","ws-rewire-prob","beta0","amplification","super-ratio","lambda-weight","max-ticks","[step]","effectiveness","over-removal-rate","net-effectiveness","removal-precision","error-rate","current-pollution-rate","count-wrongly-removed","deleted-count","false-deleted","mean-degree","max-degree","degree-sd","count-isolates","mean-super-degree","legal-load","audit-load"
"5","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","4","65","0","65","0","0","35","0","0","0","3.9988","225","6.334131574617164","0","47.02","3500","3750"
"4","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","4","61.32","0","61.32","0","0","38.68","0","0","0","3.9988","138","5.694285164681155","0","47.56","3500","3750"
"1","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","5","55.04","0","55.04","0","0","44.96","0","0","0","3.9988","253","6.501234634310265","0","47.9","3500","3750"
"6","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","5","55.38","0","55.38","0","0","44.62","0","0","0","3.9988","171","5.683912378985726","0","44.62","3500","3750"
"2","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","5","53.22","0","53.22","0","0","46.78","0","0","0","3.9988","289","7.134968823759829","0","49.16","3500","3750"
"5","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","5","55.9","0","55.9","0","0","44.1","0","0","0","3.9988","225","6.334131574617151","0","47.02","3500","3750"
"3","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","5","54.36","0","54.36","0","0","45.64","0","0","0","3.9988","143","5.951023567110158","0","47.46","3500","3750"
"4","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","5","52.86","0","52.86","0","0","47.14","0","0","0","3.9988","138","5.694285164681195","0","47.56","3500","3750"
"1","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","6","46.68","0","46.68","0","0","53.32","0","0","0","3.9988","253","6.501234634310279","0","47.9","3500","3750"
"6","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","6","47.5","0","47.5","0","0","52.5","0","0","0","3.9988","171","5.683912378985745","0","44.62","3500","3750"
"2","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","6","45.16","0","45.16","0","0","54.84","0","0","0","3.9988","289","7.134968823759764","0","49.16","3500","3750"
