"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"null"
"exp4_2*2"
"08/07/2026 20:15:49:245 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","treatment","targeting-mode","network-type","p0","legal-strength","legal-response-time","legal-accuracy","platform-accuracy","platform-speed","num-nodes","ba-m","ws-rewire-prob","beta0","amplification","super-ratio","lambda-weight","max-ticks","[step]","effectiveness","over-removal-rate","net-effectiveness","removal-precision","error-rate","current-pollution-rate","count-wrongly-removed","deleted-count","false-deleted"
"1","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","2","95.3","3.5000000000000004","91.8","72.44094488188976","27.559055118110237","4.7","35","92","35"
"2","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","6","94.3","3.8","90.5","87.05501618122977","12.944983818770226","5.7","38","269","40"
"1","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","3","93.2","3.5000000000000004","89.7","72.44094488188976","27.559055118110237","6.800000000000001","35","92","35"
"5","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","5","88.9","2.6","86.30000000000001","79.52755905511812","20.47244094488189","11.1","26","101","26"
"4","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","7","96.3","4.7","91.6","78.08219178082192","21.91780821917808","3.6999999999999997","47","171","48"
"1","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","4","90.6","3.5000000000000004","87.1","72.44094488188976","27.559055118110237","9.4","35","92","35"
"2","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","7","91.4","3.8","87.60000000000001","87.05501618122977","12.944983818770226","8.6","38","269","40"
"4","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","8","95.1","4.7","90.39999999999999","78.08219178082192","21.91780821917808","4.9","47","171","48"
"3","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","6","93.8","5.5","88.3","81.57894736842105","18.421052631578945","6.2","55","248","56"
"2","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","8","87.7","3.8","83.9","87.05501618122977","12.944983818770226","12.3","38","269","40"
"4","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","9","92.6","4.7","87.89999999999999","78.08219178082192","21.91780821917808","7.3999999999999995","47","171","48"
"6","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","7","91.7","6.4","85.3","81.23167155425219","18.7683284457478","8.3","64","277","64"
"3","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","7","92.3","5.5","86.8","81.57894736842105","18.421052631578945","7.7","55","248","56"
"4","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","10","89.3","4.7","84.6","78.08219178082192","21.91780821917808","10.7","47","171","48"
"2","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","9","81.4","3.8","77.60000000000001","87.05501618122977","12.944983818770226","18.6","38","269","40"
"3","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","8","89.4","5.5","83.9","81.57894736842105","18.421052631578945","10.6","55","248","56"
"5","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","6","94.6","4.3","90.3","82.55813953488372","17.441860465116278","5.4","43","213","45"
"2","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","10","73.8","3.8","70","87.05501618122977","12.944983818770226","26.200000000000003","38","269","40"
"6","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","8","87.9","6.4","81.5","81.23167155425219","18.7683284457478","12.1","64","277","64"
"4","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","11","94.8","7.9","86.89999999999999","76.68539325842697","23.314606741573034","5.2","79","273","83"
"5","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","7","93.8","4.3","89.5","82.55813953488372","17.441860465116278","6.2","43","213","45"
"6","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","9","81.5","6.4","75.1","81.23167155425219","18.7683284457478","18.5","64","277","64"
"5","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","8","90","4.3","85.7","82.55813953488372","17.441860465116278","10","43","213","45"
"6","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","10","74.4","6.4","68","81.23167155425219","18.7683284457478","25.6","64","277","64"
"4","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","12","93","7.9","85.1","76.68539325842697","23.314606741573034","7.000000000000001","79","273","83"
"3","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","9","84","5.5","78.5","81.57894736842105","18.421052631578945","16","55","248","56"
"4","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","13","90.8","7.9","82.89999999999999","76.68539325842697","23.314606741573034","9.2","79","273","83"
"1","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","5","84.9","3.5000000000000004","81.4","72.44094488188976","27.559055118110237","15.1","35","92","35"
"5","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","9","84.8","4.3","80.5","82.55813953488372","17.441860465116278","15.2","43","213","45"
"4","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","14","85.3","7.9","77.39999999999999","76.68539325842697","23.314606741573034","14.7","79","273","83"
"4","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","15","78.7","7.9","70.8","76.68539325842697","23.314606741573034","21.3","79","273","83"
"3","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","10","76.2","5.5","70.7","81.57894736842105","18.421052631578945","23.799999999999997","55","248","56"
"6","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","11","90.2","8.3","81.9","86.11570247933884","13.884297520661157","9.8","83","521","84"
"5","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","10","77.4","4.3","73.10000000000001","82.55813953488372","17.441860465116278","22.6","43","213","45"
"4","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","16","90.1","10","80.1","81.75438596491227","18.24561403508772","9.9","100","466","104"
"2","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","11","91.2","6.1","85.10000000000001","89.13412563667232","10.865874363327674","8.799999999999999","61","525","64"
"6","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","12","87.9","8.3","79.60000000000001","86.11570247933884","13.884297520661157","12.1","83","521","84"
"2","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","12","87.2","6.1","81.10000000000001","89.13412563667232","10.865874363327674","12.8","61","525","64"
"5","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","11","91.2","6","85.2","87.16904276985743","12.830957230142568","8.799999999999999","60","428","63"
"1","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","6","93.4","5.4","88","81.03448275862068","18.96551724137931","6.6000000000000005","54","235","55"
"5","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","12","88.3","6","82.3","87.16904276985743","12.830957230142568","11.700000000000001","60","428","63"
"2","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","13","82.5","6.1","76.4","89.13412563667232","10.865874363327674","17.5","61","525","64"
"4","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","17","87.8","10","77.8","81.75438596491227","18.24561403508772","12.2","100","466","104"
"6","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","13","83.8","8.3","75.5","86.11570247933884","13.884297520661157","16.2","83","521","84"
"1","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","7","92.4","5.4","87","81.03448275862068","18.96551724137931","7.6","54","235","55"
"5","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","13","84.4","6","78.4","87.16904276985743","12.830957230142568","15.6","60","428","63"
"3","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","11","91.8","8","83.8","85.1985559566787","14.801444043321299","8.200000000000001","80","472","82"
"6","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","14","76.7","8.3","68.4","86.11570247933884","13.884297520661157","23.3","83","521","84"
"3","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","12","90.1","8","82.1","85.1985559566787","14.801444043321299","9.9","80","472","82"
"4","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","18","83.8","10","73.8","81.75438596491227","18.24561403508772","16.2","100","466","104"
"1","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","8","89.9","5.4","84.5","81.03448275862068","18.96551724137931","10.100000000000001","54","235","55"
"3","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","13","85.6","8","77.6","85.1985559566787","14.801444043321299","14.399999999999999","80","472","82"
"6","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","15","68.1","8.3","59.8","86.11570247933884","13.884297520661157","31.900000000000002","83","521","84"
"4","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","19","77.5","10","67.5","81.75438596491227","18.24561403508772","22.5","100","466","104"
"2","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","14","75.2","6.1","69.10000000000001","89.13412563667232","10.865874363327674","24.8","61","525","64"
"5","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","14","78.2","6","72.2","87.16904276985743","12.830957230142568","21.8","60","428","63"
"1","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","9","85.4","5.4","80","81.03448275862068","18.96551724137931","14.6","54","235","55"
"3","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","14","78.7","8","70.7","85.1985559566787","14.801444043321299","21.3","80","472","82"
"5","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","15","71.2","6","65.2","87.16904276985743","12.830957230142568","28.799999999999997","60","428","63"
"4","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","20","70","10","60","81.75438596491227","18.24561403508772","30","100","466","104"
"2","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","15","67.8","6.1","61.699999999999996","89.13412563667232","10.865874363327674","32.2","61","525","64"
"1","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","10","78.4","5.4","73","81.03448275862068","18.96551724137931","21.6","54","235","55"
"6","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","16","88.3","9.4","78.89999999999999","89.32146829810901","10.678531701890991","11.700000000000001","94","803","96"
"3","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","15","72.1","8","64.1","85.1985559566787","14.801444043321299","27.900000000000002","80","472","82"
"6","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","17","85.3","9.4","75.89999999999999","89.32146829810901","10.678531701890991","14.7","94","803","96"
"6","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","18","78.2","9.4","68.8","89.32146829810901","10.678531701890991","21.8","94","803","96"
"2","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","16","88.1","8.1","80","90.60402684563759","9.395973154362416","11.899999999999999","81","810","84"
"6","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","19","70.8","9.4","61.4","89.32146829810901","10.678531701890991","29.2","94","803","96"
"5","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","16","88.4","7.9","80.5","89.13612565445025","10.863874345549739","11.600000000000001","79","681","83"
"5","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","17","86.7","7.9","78.8","89.13612565445025","10.863874345549739","13.3","79","681","83"
"2","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","17","85.1","8.1","77","90.60402684563759","9.395973154362416","14.899999999999999","81","810","84"
"6","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","20","62.8","9.4","53.4","89.32146829810901","10.678531701890991","37.2","94","803","96"
"5","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","18","79.5","7.9","71.6","89.13612565445025","10.863874345549739","20.5","79","681","83"
"4","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","21","88.7","11.4","77.3","85.93200468933178","14.06799531066823","11.3","114","733","120"
"2","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","18","79.4","8.1","71.30000000000001","90.60402684563759","9.395973154362416","20.599999999999998","81","810","84"
"1","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","11","91.5","7.5","84","84.92063492063492","15.079365079365079","8.5","75","428","76"
"4","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","22","85","11.4","73.6","85.93200468933178","14.06799531066823","15","114","733","120"
"5","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","19","72.1","7.9","64.19999999999999","89.13612565445025","10.863874345549739","27.900000000000002","79","681","83"
